Comment,Designator,Footprint,LCSC
"0.047u","C1,C2,C3,C4,C5,C6,C7","Capacitors_SMD:C_0603_HandSoldering","C1604"
"1u","C8,C9,C10,C11,C12","Capacitors_SMD:C_0603_HandSoldering","C15849"
"D_Schottky","D1","Gamecube MB:D_SOD-523_large_pads","C151333"
"5.2mm","H1","Gamecube MB:MountingHole_5.2mm",""
"Slot","H2","Gamecube MB:Slot",""
"2mm","H3,H4","Gamecube MB:MountingHole_2.0mm",""
"1.8mm","H5,H6","Gamecube MB:MountingHole_1.8mm",""
"2.4mm","H7","Gamecube MB:MountingHole_2.4mm",""
"2.2mm","H8,H9","Gamecube MB:MountingHole_2.2mm",""
"Conn_01x06_Female","J1","Gamecube MB:GCC_Header_Straight_1x06_Pitch2.00mm",""
"Conn_01x04_Female","J2","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.00mm",""
"Conn_01x01_Male","J3,J4","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical",""
"10118194-0001LF","J6","digikeyUSB:USB_Micro_B_Female_10118194-0001LF","C132563"
"2k","R1,R2","Resistor_SMD:R_0603_1608Metric","C25804"
"R_POT_MountingPin","RV1,RV2","Gamecube MB:GCC_Slider",""
"A","SW1","Gamecube MB:ABXY_layout_small_mask",""
"Dup","SW10","Gamecube MB:Dpad_Contact",""
"Dright","SW11","Gamecube MB:Dpad_Contact",""
"Ddown","SW12","Gamecube MB:Dpad_Contact",""
"B","SW2","Gamecube MB:ABXY_layout_small_mask",""
"X","SW3","Gamecube MB:ABXY_layout_small_mask",""
"Y","SW4","Gamecube MB:ABXY_layout_small_mask",""
"Start","SW5","Gamecube MB:Start_Contact",""
"L","SW6","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"R","SW7","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"1825027-5","SW8","Gamecube MB:Z_Switch_Edge",""
"Dleft","SW9","Gamecube MB:Dpad_Contact",""
"Teensy3.2","U1","teensy:Teensy30_31_32_USB",""
"2x DRV5053CAQLPGM Hall Effect Sensors","U2","Gamecube MB:GCC_Stickbox_2",""
"ME6206A25XG","U3","Package_TO_SOT_SMD:SOT-23_Handsoldering","C236704"